NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Tarik SkubalDET,SP,29,29,21,2.5,16,4,0,0,180,137,50,15,33,214,10.7,0.94,6
Chris SaleATL,SP,27,27,17,2.38,16,3,0,0,166.2,131,44,8,35,213,11.5,1,5.9
Hunter GreeneCIN,SP,24,24,13,2.83,9,4,0,0,143.1,93,45,11,53,162,10.2,1.02,5.7
Erick FeddeSTL/CHW,SP,28,28,11,3.39,8,9,0,0,159.1,138,60,20,49,138,7.8,1.17,5.3
Paul SkenesPIT,SP,20,20,14,2.1,10,2,0,0,120,88,28,10,31,151,11.3,0.99,5.2
Zack WheelerPHI,SP,29,29,23,2.6,15,6,0,0,179.2,125,52,18,49,199,10,0.97,5.1
Reynaldo LopezATL,SP,24,24,13,2.03,8,5,0,0,128.2,106,29,10,42,137,9.6,1.15,5
Seth LugoKC,SP,30,30,21,2.94,16,8,0,0,193,165,63,15,45,169,7.9,1.09,4.8
Tyler AndersonLAA,SP,28,28,12,3.5,10,12,0,0,167.1,139,65,21,67,132,7.1,1.23,4.2
Cole RagansKC,SP,30,30,19,3.32,11,9,0,0,173.1,139,64,15,60,211,11,1.15,4.1
Emmanuel ClaseCLE,RP,67,0,0,0.67,4,2,44,0,67.1,37,5,2,8,60,8,0.67,4.1
Framber ValdezHOU,SP,26,26,16,2.91,14,6,0,0,163.2,127,53,11,51,159,8.7,1.09,4.1
Tanner ScottSD/MIA,RP,64,0,0,1.55,9,5,20,8,64,37,11,3,33,74,10.4,1.09,3.9
Ronel BlancoHOU,SP,27,26,12,2.99,10,6,0,0,150.1,102,50,21,62,149,8.9,1.09,3.7
Michael KingSD,SP,29,28,13,3.06,12,9,0,0,161.2,136,55,17,60,191,10.6,1.21,3.6
Jack FlahertyDET/LAD,SP,25,25,14,2.86,12,6,0,0,148,121,47,21,29,180,10.9,1.01,3.6
Garrett CrochetCHW,SP,29,29,11,3.83,6,11,0,0,134,115,57,18,32,191,12.8,1.1,3.5
Luis GilNYY,SP,26,26,10,3.18,13,6,0,0,135.2,89,48,13,70,156,10.3,1.17,3.4
Logan WebbSF,SP,30,30,19,3.46,12,9,0,0,189.2,187,73,10,46,157,7.4,1.23,3.4
Raisel IglesiasATL,RP,57,0,0,1.18,5,1,31,0,61,29,8,2,11,62,9.1,0.66,3.3
Aaron NolaPHI,SP,29,29,18,3.41,12,7,0,0,177,164,67,26,45,167,8.5,1.18,3.3
Tanner HouckBOS,SP,28,28,19,3.24,8,10,0,0,169.2,151,61,11,47,150,8,1.17,3.3
Brady SingerKC,SP,29,29,12,3.42,9,10,0,0,163.1,158,62,17,46,153,8.4,1.25,3.2
Luis OrtizPIT,RP,34,12,5,3.26,6,5,1,1,118.2,95,43,13,37,90,6.8,1.11,3.2
Dylan CeaseSD,SP,30,30,14,3.71,12,11,0,0,170,126,70,18,60,205,10.9,1.09,3.2
Michael WachaKC,SP,26,26,14,3.34,12,7,0,0,151,139,56,16,40,130,7.7,1.19,3.1
Andrew AbbottCIN,SP,25,25,9,3.72,10,10,0,0,138,127,57,25,52,114,7.4,1.3,3.1
Ranger SuarezPHI,SP,24,24,11,3.05,12,6,0,0,138.2,124,47,11,33,134,8.7,1.13,3
Kirby YatesTEX,RP,56,0,0,1.27,6,2,30,2,56.2,23,8,3,25,81,12.9,0.85,3
Sean ManaeaNYM,SP,29,29,13,3.35,11,5,0,0,164,120,61,18,60,171,9.4,1.1,3
Cristopher SanchezPHI,SP,28,28,16,3.33,10,9,0,0,165,168,61,8,37,135,7.4,1.24,2.9
Max FriedATL,SP,26,26,13,3.46,9,9,0,0,153.2,136,59,13,51,144,8.4,1.22,2.9
Mitch KellerPIT,SP,28,28,14,3.85,11,9,0,0,163.2,165,70,20,42,153,8.4,1.26,2.8
Bryan WooSEA,SP,19,19,10,2.38,8,2,0,0,105.2,77,28,11,10,82,7,0.82,2.8
Bailey OberMIN,SP,27,27,17,3.77,12,6,0,0,155,113,65,22,39,162,9.4,0.98,2.8
Ryan HelsleySTL,RP,60,0,0,2.19,7,4,44,0,61.2,48,15,3,23,72,10.5,1.15,2.8
Tyler HoltonDET,RP,59,7,0,2.23,6,1,7,12,84.2,53,21,6,14,65,6.9,0.79,2.8
Bryce MillerSEA,SP,29,29,16,3.12,11,8,0,0,167.1,127,58,21,39,158,8.5,0.99,2.7
Logan GilbertSEA,SP,29,29,22,3.15,7,11,0,0,185.2,130,65,20,33,191,9.3,0.88,2.7
Shota ImanagaCHC,SP,27,27,17,3.03,13,3,0,0,160.1,138,54,26,25,159,8.9,1.02,2.7
Nick MartinezCIN,RP,39,13,3,3.46,8,6,0,7,122.1,118,47,13,18,98,7.2,1.11,2.7
Hunter GaddisCLE,RP,70,0,0,1.49,4,3,0,32,66.2,36,11,4,14,61,8.2,0.75,2.6
Ryan WalkerSF,RP,70,1,0,1.82,9,3,7,21,74.1,47,15,4,16,95,11.5,0.85,2.6
Griffin JaxMIN,RP,66,0,0,1.95,4,4,8,24,64.2,42,14,3,15,84,11.7,0.88,2.6
Michael LorenzenTEX/KC,SP,24,23,9,3.43,7,6,0,0,126,100,48,17,58,92,6.6,1.25,2.5
Javier AssadCHC,SP,26,26,6,3.14,7,5,0,0,131.2,121,46,16,56,111,7.6,1.34,2.5
Jose BerriosTOR,SP,29,29,19,3.52,15,9,0,0,176.1,154,69,28,48,139,7.1,1.15,2.4
Austin GomberCOL,SP,27,27,11,4.5,5,10,0,0,152,156,76,27,36,108,6.4,1.26,2.4
Pablo LopezMIN,SP,29,29,17,3.88,15,8,0,0,169.1,157,73,23,35,183,9.7,1.13,2.4
Bryan HudsonMIL,RP,43,0,0,1.73,6,1,0,14,62.1,28,12,7,17,62,9,0.72,2.4
Nathan EovaldiTEX,SP,26,26,14,3.67,11,8,0,0,152,128,62,22,36,150,8.9,1.08,2.4
Zac GallenARI,SP,25,25,11,3.55,12,6,0,0,132,118,52,9,49,133,9.1,1.27,2.4
Kutter CrawfordBOS,SP,30,30,14,4.09,8,14,0,0,167.1,136,76,31,45,155,8.3,1.08,2.4
Tanner BibeeCLE,SP,28,28,9,3.56,11,7,0,0,154,133,61,20,41,166,9.7,1.13,2.4
JP SearsOAK,SP,29,29,12,4.18,11,10,0,0,163.2,152,76,22,43,123,6.8,1.19,2.4
Tobias MyersMIL,SP,23,22,7,2.93,7,5,0,0,120,106,39,17,33,112,8.4,1.16,2.3
David PetersonNYM,SP,18,18,10,2.98,9,2,0,0,102.2,97,34,8,42,83,7.3,1.35,2.3
Mason MillerOAK,RP,48,0,0,2.34,1,2,24,0,57.2,30,15,4,19,91,14.2,0.85,2.3
Albert SuarezBAL,SP,29,21,6,3.39,8,5,0,1,119.1,115,45,11,39,95,7.2,1.29,2.3
Jason AdamSD/TB,RP,66,0,0,1.91,7,2,4,25,66,35,14,5,19,76,10.4,0.82,2.3
Corbin BurnesBAL,SP,29,29,20,3.18,13,8,0,0,175.1,158,62,21,43,157,8.1,1.15,2.3
Joe RyanMIN,SP,23,23,13,3.6,7,7,0,0,135,110,54,19,23,147,9.8,0.99,2.3
Nestor CortesNYY,SP,30,29,12,3.9,9,10,0,0,168.1,158,73,24,36,156,8.3,1.15,2.3
Jake IrvinWSH,SP,30,30,15,4.19,10,12,0,0,172,160,80,26,44,145,7.6,1.19,2.2
Hunter BrownHOU,SP,29,28,17,3.59,11,8,0,0,158,148,63,17,56,168,9.6,1.29,2.2
Carlos EstevezPHI/LAA,RP,50,0,0,2.26,4,4,25,0,51.2,33,13,5,9,48,8.4,0.81,2.2
Sonny GraySTL,SP,27,27,13,3.75,13,9,0,0,160.2,133,67,21,39,195,10.9,1.07,2.2
Clarke SchmidtNYY,SP,12,12,2,2.34,5,3,0,0,65.1,53,17,6,21,69,9.5,1.13,2.2
Simeon Woods RichardsonMIN,SP,25,25,7,3.96,5,4,0,0,125,109,55,14,43,106,7.6,1.22,2.2
Robert SuarezSD,RP,58,0,0,2.48,8,3,32,1,58,45,16,5,14,54,8.4,1.02,2.2
Cade SmithCLE,RP,69,0,0,2.06,6,1,1,25,70,48,16,1,17,93,12,0.93,2.2
Jose SorianoLAA,SP,22,20,9,3.42,6,7,0,1,113,91,43,8,45,97,7.7,1.2,2.2
Tyler GlasnowLAD,SP,22,22,14,3.49,9,6,0,0,134,92,52,15,35,168,11.3,0.95,2.1
Jeff HoffmanPHI,RP,62,0,0,1.79,3,2,10,20,60.1,44,12,5,15,81,12.1,0.98,2.1
Jared JonesPIT,SP,19,19,11,3.82,6,7,0,0,108.1,89,46,16,31,115,9.6,1.11,2.1
Matt StrahmPHI,RP,60,0,0,2.06,6,2,3,15,56.2,34,13,4,11,69,11,0.79,2.1
Bailey FalterPIT,SP,25,25,8,4.2,8,7,0,0,128.2,125,60,15,39,89,6.2,1.27,2
Zach EflinBAL/TB,SP,25,25,11,3.65,10,8,0,0,148,151,60,19,17,125,7.6,1.14,2
Cal QuantrillCOL,SP,26,26,12,4.63,8,9,0,0,138,139,71,20,57,103,6.7,1.42,2
Trevor WilliamsWSH,SP,11,11,1,2.22,5,0,0,0,56.2,45,14,2,16,47,7.5,1.08,2
Jose ButtoNYM,RP,27,7,3,2.67,7,3,3,3,70.2,41,21,6,38,72,9.2,1.12,2
Gavin StoneLAD,SP,25,25,10,3.53,11,5,0,0,140.1,133,55,18,37,116,7.4,1.21,1.9
Mitch SpenceOAK,SP,32,21,4,4.33,7,9,0,1,137.1,144,66,17,41,113,7.4,1.35,1.9
Luis CastilloSEA,SP,30,30,18,3.64,11,12,0,0,175.1,158,71,25,47,175,9,1.17,1.9
Justin SteeleCHC,SP,22,22,11,3.09,5,5,0,0,128,105,44,11,34,131,9.2,1.09,1.9
Hogan HarrisOAK,SP,16,9,3,2.67,4,3,0,0,64,56,19,6,31,51,7.2,1.36,1.9
Zack LittellTB,SP,26,26,8,3.89,6,9,0,0,138.2,154,60,21,31,122,7.9,1.33,1.8
David RobertsonTEX,RP,60,0,0,2.81,3,3,2,31,64,49,20,4,22,93,13.1,1.11,1.8
Freddy PeraltaMIL,SP,29,29,11,3.81,10,8,0,0,158.1,133,67,25,60,179,10.2,1.22,1.8
Justin MartinezARI,RP,56,0,0,2.39,5,5,8,8,64,50,17,2,32,81,11.4,1.28,1.8
Yoshinobu YamamotoLAD,SP,15,15,7,2.88,6,2,0,0,78,66,25,6,17,92,10.6,1.06,1.8
Tayler ScottHOU,RP,60,1,0,2,7,3,0,8,67.1,42,15,6,33,70,9.4,1.11,1.8
Ryan WeathersMIA,SP,13,13,6,3.55,3,5,0,0,71,61,28,8,20,67,8.5,1.14,1.8
Andres MunozSEA,RP,54,0,0,2.18,2,6,20,6,53.2,28,13,6,25,70,11.7,0.99,1.8
Luis SeverinoNYM,SP,28,28,12,3.74,10,6,0,0,166,151,69,19,56,144,7.8,1.25,1.7
Kyle GibsonSTL,SP,27,27,12,4.2,8,6,0,0,154.1,146,72,19,59,143,8.3,1.33,1.7
Ben JoyceLAA,RP,31,1,0,2.08,2,0,4,8,34.2,26,8,1,14,33,8.6,1.15,1.7
Jonathan CannonCHW,SP,20,18,6,4.56,3,10,1,0,106.2,115,54,15,34,74,6.2,1.4,1.7
Nick PivettaBOS,SP,24,23,10,4.24,5,10,0,0,129.1,115,61,25,32,156,10.9,1.14,1.7
Gerrit ColeNYY,SP,14,14,6,3.36,6,4,0,0,75,69,28,11,24,85,10.2,1.24,1.7
Reese OlsonDET,SP,19,19,9,3.23,4,8,0,0,103,91,37,6,31,92,8,1.18,1.7
Osvaldo BidoOAK,SP,16,9,4,3.41,5,3,0,1,63.1,43,24,3,26,63,9,1.09,1.7
Bryan HoeingSD/MIA,RP,30,2,0,1.98,2,3,0,3,50,40,11,3,13,41,7.4,1.06,1.6
JoJo RomeroSTL,RP,62,0,0,2.65,7,2,1,30,57.2,48,17,7,14,51,8,1.08,1.6
Ryan PepiotTB,SP,23,23,8,3.76,8,6,0,0,115,93,48,16,42,119,9.3,1.17,1.6
Joe JimenezATL,RP,60,0,0,2.55,1,5,3,25,60,40,17,2,20,69,10.4,1,1.6
Jose QuintanaNYM,SP,28,28,10,4.09,8,9,0,0,152,140,69,22,59,118,7,1.31,1.6
Tim HerrinCLE,RP,67,0,0,2.03,5,0,0,14,57.2,35,13,2,25,55,8.6,1.04,1.6
Edwin UcetaTB,RP,25,0,0,1.49,2,0,2,5,36.1,23,6,2,6,51,12.6,0.8,1.6
Ryne NelsonARI,SP,27,25,12,4.33,10,6,0,0,147.2,154,71,17,34,125,7.6,1.27,1.6
Carlos RodonNYY,SP,29,29,15,4.21,14,9,0,0,158.1,143,74,28,50,181,10.3,1.22,1.5
Luke WeaverNYY,RP,57,0,0,3.17,5,3,1,22,76.2,49,27,10,25,86,10.1,0.97,1.5
Jameson TaillonCHC,SP,25,25,13,3.57,10,8,0,0,146.1,143,58,20,28,113,6.9,1.17,1.5
Alex VesiaLAD,RP,61,0,0,1.82,3,4,5,13,59.1,30,12,6,29,77,11.7,0.99,1.5
Spencer SchwellenbachATL,SP,17,17,8,3.78,5,7,0,0,97.2,90,41,12,19,107,9.9,1.12,1.5
Orion KerkeringPHI,RP,57,2,0,2.06,4,2,0,13,56.2,45,13,2,14,65,10.3,1.04,1.5
Shane BazTB,SP,11,11,5,3.28,2,3,0,0,60.1,48,22,7,24,50,7.5,1.19,1.4
Derek LawWSH,RP,67,0,0,2.89,7,4,1,14,81,78,26,7,21,65,7.2,1.22,1.4
Buck FarmerCIN,RP,54,1,0,3.05,3,1,0,1,65,51,22,7,27,64,8.9,1.2,1.4
Joey EstesOAK,SP,22,21,8,4.36,7,7,0,1,117.2,109,57,18,24,88,6.7,1.13,1.4
Andrew HeaneyTEX,SP,29,28,7,3.84,5,13,0,0,145.1,135,62,19,39,149,9.2,1.2,1.4
Ben LivelyCLE,SP,26,26,9,4.01,11,9,0,0,137,127,61,23,43,110,7.2,1.24,1.4
Andrew KittredgeSTL,RP,66,0,0,2.86,4,4,1,33,63,52,20,9,19,60,8.6,1.13,1.4
Jakob JunisCIN/MIL,RP,22,4,0,2.73,4,0,1,0,56,43,17,7,7,42,6.8,0.89,1.4
Bryan AbreuHOU,RP,72,0,0,3.27,2,3,1,35,71.2,57,26,8,31,97,12.2,1.23,1.4
Jared KoenigMIL,RP,48,5,0,2.29,8,3,1,8,55,48,14,4,18,57,9.3,1.2,1.4
Yu DarvishSD,SP,13,13,3,3.52,5,3,0,0,64,56,25,9,17,62,8.7,1.14,1.3
Will VestDET,RP,62,0,0,2.86,3,4,1,10,63,57,20,2,17,58,8.3,1.17,1.3
Grayson RodriguezBAL,SP,20,20,11,3.86,13,4,0,0,116.2,109,50,15,36,130,10,1.24,1.3
Dylan LeeATL,RP,45,0,0,1.83,4,2,0,7,54,43,11,5,15,66,11,1.07,1.3
Blake SnellSF,SP,18,18,8,3.52,3,3,0,0,92,62,36,6,41,124,12.1,1.12,1.3
Cole SandsMIN,RP,54,0,0,2.95,7,1,4,5,64,52,21,6,9,72,10.1,0.95,1.3
A.J. PukMIA/ARI,RP,53,4,0,3.14,4,8,2,13,63,45,22,3,25,76,10.9,1.11,1.3
Kyle FinneganWSH,RP,59,0,0,3.41,3,6,36,0,58,54,22,9,20,56,8.7,1.28,1.3
George KirbySEA,SP,30,30,17,3.77,11,11,0,0,172,171,72,22,22,166,8.7,1.12,1.3
Kevin KellyTB,RP,62,0,0,2.92,3,2,1,15,64.2,57,21,7,8,57,7.9,1.01,1.2
Michael KopechCHW/LAD,RP,61,0,0,3.65,5,8,13,8,61.2,40,25,8,31,81,11.8,1.15,1.2
Porter HodgeCHC,RP,34,0,0,1.66,3,1,5,9,38,17,7,1,17,46,10.9,0.89,1.2
Valente BellozoMIA,SP,10,10,2,3.57,2,3,0,0,53,50,21,10,18,35,5.9,1.28,1.2
Landon KnackLAD,SP,11,9,2,3,2,3,1,0,54,39,18,10,13,52,8.7,0.96,1.2
Bowden FrancisTOR,RP,25,11,6,3.5,8,4,0,0,92.2,66,36,16,20,82,8,0.93,1.2
Marcus StromanNYY,SP,28,28,9,4.07,10,8,0,0,148.1,152,67,18,60,109,6.6,1.43,1.2
Brayan BelloBOS,SP,27,27,10,4.7,13,7,0,0,147.1,146,77,19,58,140,8.6,1.38,1.2
Andre PallanteSTL,SP,26,17,5,4.13,6,8,0,1,102.1,98,47,8,45,77,6.8,1.4,1.2
Kenley JansenBOS,RP,51,0,0,3.48,4,2,26,0,51.2,38,20,4,18,59,10.3,1.08,1.2
Spencer TurnbullPHI,RP,17,7,2,2.65,3,0,0,1,54.1,37,16,6,20,58,9.6,1.05,1.2
Tyler RogersSF,RP,71,0,0,2.94,3,4,1,29,64.1,62,21,6,4,47,6.6,1.03,1.2
Jordan HicksSF,SP,28,20,3,3.9,4,7,1,2,108.1,108,47,12,46,95,7.9,1.42,1.2
Charlie MortonATL,SP,27,27,11,4.11,8,8,0,0,149,139,68,21,57,155,9.4,1.32,1.1
Hunter StricklandLAA,RP,65,0,0,3.38,3,1,1,11,66.2,49,25,9,21,52,7,1.05,1.1
Dylan FloroARI/WSH,RP,65,0,0,3.24,6,4,0,11,66.2,60,24,3,15,47,6.3,1.13,1.1
Chris FlexenCHW,SP,30,27,9,5.26,2,14,0,0,143.2,161,84,22,58,105,6.6,1.52,1.1
Matt WaldronSD,SP,26,26,10,4.79,7,11,0,0,142.2,137,76,19,40,130,8.2,1.24,1.1
Yennier CanoBAL,RP,64,0,0,2.78,4,2,5,32,55,49,17,6,21,59,9.7,1.27,1.1
A.J. MinterATL,RP,39,0,0,2.62,5,4,1,9,34.1,24,10,6,11,35,9.2,1.02,1.1
Nick LodoloCIN,SP,21,21,8,4.76,9,6,0,0,115.1,101,61,13,37,122,9.5,1.2,1.1
Blake TreinenLAD,RP,43,0,0,2.27,6,3,1,12,39.2,33,10,5,10,48,10.9,1.08,1.1
Scott AlexanderOAK,RP,38,0,0,2.48,1,2,0,9,32.2,26,9,2,11,23,6.3,1.13,1.1
Tyson MillerSEA/CHC,RP,51,0,0,2.45,4,1,0,11,55,37,15,6,11,49,8,0.87,1.1
Ryan FernandezSTL,RP,55,0,0,3.13,1,4,2,11,60.1,47,21,4,30,62,9.2,1.28,1.1
Colin ReaMIL,SP,28,25,8,4.21,12,5,0,0,154,149,72,27,39,123,7.2,1.22,1.1
Kevin GinkelARI,RP,65,0,0,2.8,8,3,5,16,64.1,59,20,4,14,69,9.7,1.13,1.1
Calvin FaucherMIA,RP,53,0,0,3.19,2,3,6,11,53.2,49,19,0,26,63,10.6,1.4,1.1
Jorge AlcalaMIN,RP,49,0,0,3.27,4,3,0,16,52.1,38,19,7,18,48,8.3,1.07,1.1
Rhett LowderCIN,SP,3,3,1,0.59,1,1,0,0,15.1,11,1,0,8,12,7,1.24,1.1
Brent SuterCIN,RP,42,3,0,3.36,0,0,1,2,59,54,22,9,10,47,7.2,1.08,1
Garrett CleavingerTB,RP,64,0,0,3.38,7,4,5,13,56,48,21,5,29,66,10.6,1.38,1
Collin SniderSEA,RP,37,0,0,1.49,3,3,0,8,36.1,30,6,4,11,41,10.2,1.13,1
Ryan ThompsonARI,RP,59,0,0,3.2,7,4,2,23,59,58,21,5,13,48,7.3,1.2,1
Jeremiah EstradaSD,RP,54,0,0,3.13,5,2,1,13,54.2,40,19,4,21,85,14,1.12,1
Kyle BradishBAL,SP,8,8,2,2.75,2,0,0,0,39.1,27,12,2,15,53,12.1,1.07,1
Brandon PfaadtARI,SP,28,28,12,4.42,9,8,0,0,165,165,81,20,36,160,8.7,1.22,1
Martin PerezPIT/SD,SP,23,23,8,4.46,4,5,0,0,121,139,60,20,43,96,7.1,1.5,1
Zack KellyBOS,RP,48,3,0,3.49,6,3,0,8,56.2,43,22,10,25,61,9.7,1.2,1
Ryan YarbroughTOR/LAD,RP,40,0,0,3.4,5,2,1,1,87.1,62,33,10,31,52,5.4,1.06,1
Adrian MorejonSD,RP,52,0,0,3.1,2,1,1,10,58,56,20,4,20,66,10.2,1.31,1
Yusei KikuchiTOR/HOU,SP,29,29,9,4.31,8,9,0,0,156.2,155,75,23,40,183,10.5,1.24,1
Jesus TinocoTEX/CHC/MIA,RP,27,0,0,3.15,1,0,1,6,34.1,21,12,3,11,38,10,0.93,1
Manuel RodriguezTB,RP,36,0,0,2.08,3,4,2,8,34.2,24,8,2,11,32,8.3,1.01,1
Victor VodnikCOL,RP,57,0,0,3.92,3,3,9,6,66.2,65,29,5,32,60,8.1,1.46,1
Cam BooserBOS,RP,42,0,0,2.98,2,2,1,6,42.1,40,14,4,15,42,8.9,1.3,1
DJ HerzWSH,SP,16,16,2,3.82,3,7,0,0,75.1,63,32,10,29,93,11.1,1.22,1
Frankie MontasCIN/MIL,SP,27,27,9,4.49,7,10,0,0,138.1,126,69,18,59,128,8.3,1.34,0.9
Trevor RogersBAL/MIA,SP,25,25,3,4.92,2,11,0,0,124.1,140,68,14,56,97,7,1.58,0.9
Josh HaderHOU,RP,63,0,0,3.41,7,7,29,0,63.1,37,24,12,22,93,13.2,0.93,0.9
Edward CabreraMIA,SP,17,17,4,4.88,4,6,0,0,83,73,45,14,43,90,9.8,1.4,0.9
Taj BradleyTB,SP,22,22,9,4.4,6,10,0,0,122.2,108,60,22,41,137,10.1,1.21,0.9
Devin WilliamsMIL,RP,17,0,0,1.62,0,0,11,0,16.2,9,3,1,9,31,16.7,1.08,0.9
Ben BrownCHC,SP,15,8,2,3.58,1,3,0,1,55.1,41,22,5,19,64,10.4,1.08,0.9
Carson FulmerLAA,RP,32,8,2,4.15,0,5,0,0,80.1,68,37,11,37,79,8.9,1.31,0.9
Lucas ErcegOAK/KC,RP,56,0,0,3.54,2,5,11,18,56,45,22,3,15,64,10.3,1.07,0.9
Matthew BoydCLE,SP,6,6,3,2.18,2,1,0,0,33,23,8,3,7,35,9.5,0.91,0.9
Trevor MegillMIL,RP,42,0,0,2.9,1,3,20,5,40.1,31,13,4,10,46,10.3,1.02,0.9
Davis MartinCHW,SP,9,8,2,4.14,0,4,0,0,41.1,40,19,5,16,39,8.5,1.35,0.9
Bryse WilsonMIL,RP,34,9,2,4.04,5,4,0,0,104.2,102,47,20,31,82,7.1,1.27,0.9
Pierce JohnsonATL,RP,51,0,0,3.42,5,4,2,11,50,42,19,4,23,59,10.6,1.3,0.9
Garrett WhitlockBOS,SP,4,4,0,1.96,1,0,0,0,18.1,14,4,1,7,17,8.3,1.15,0.9
