NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Cristian MenaARI,SP,1,1,0,12,0,0,0,0,3,4,4,2,3,2,6,2.33,-0.2
Joey LucchesiNYM,SP,1,1,0,10.38,0,1,0,0,4.1,5,5,1,4,2,4.2,2.08,-0.2
Kenny RosenbergLAA,RP,4,1,0,6.87,0,1,0,0,18.1,20,14,5,7,12,5.9,1.47,-0.2
Eduard BazardoSEA,RP,17,0,0,6.04,1,0,0,0,22.1,15,15,2,9,29,11.7,1.07,-0.2
Xzavion CurryCLE/MIA,RP,12,4,0,5.35,1,2,0,1,33.2,35,20,6,6,23,6.1,1.22,-0.2
Erasmo RamirezTB,RP,13,0,0,4.35,3,0,1,0,20.2,12,10,5,10,15,6.5,1.06,-0.2
Alex WoodOAK,SP,9,9,1,5.26,1,3,0,0,39.1,51,23,6,19,33,7.6,1.78,-0.2
Gregory SantosSEA,RP,6,0,0,6.75,0,1,0,1,5.1,6,4,0,1,5,8.4,1.31,-0.2
Tyler AlexanderTB,RP,20,7,1,5.5,6,4,0,0,93.1,100,57,23,21,76,7.3,1.3,-0.2
Joe La SorsaWSH,RP,9,0,0,7.45,0,0,0,0,9.2,13,8,3,3,9,8.4,1.66,-0.2
Eric OrzeNYM,RP,2,0,0,21.6,0,1,0,0,1.2,3,4,1,2,1,5.4,3,-0.2
Stephen KolekSD,RP,42,0,0,5.21,3,0,0,2,46.2,59,27,4,12,39,7.5,1.52,-0.2
Bryan ShawCHW,RP,5,0,0,9,0,1,0,0,4,8,4,1,4,4,9,3,-0.2
Julio TeheranNYM,SP,1,1,0,13.5,0,0,0,0,2.2,6,4,1,2,3,10.1,3,-0.2
Alan BusenitzCIN,RP,1,0,0,27,0,0,0,0,1,4,3,0,0,0,0,4,-0.2
Caleb FergusonHOU/NYY,RP,57,0,0,4.21,1,4,1,11,51.1,52,24,6,24,61,10.7,1.48,-0.2
Jonathan BowlanKC,SP,1,1,0,13.5,0,1,0,0,2.2,6,4,3,3,3,10.1,3.38,-0.2
Jack NeelyCHC,RP,4,0,0,13.5,0,0,0,0,4,6,6,2,2,5,11.3,2,-0.2
Eduardo RodriguezARI,SP,6,6,0,5.83,2,2,0,0,29.1,35,19,4,10,18,5.5,1.53,-0.2
Shawn ArmstrongSTL/CHC/TB,RP,55,7,0,4.71,3,3,1,4,65,72,34,6,25,65,9,1.49,-0.2
Noah DavisCOL,RP,9,0,0,5.75,0,0,0,1,20.1,31,13,3,7,15,6.6,1.87,-0.2
Daniel PalenciaCHC,RP,9,0,0,7.11,0,1,1,0,12.2,14,10,0,12,14,9.9,2.05,-0.2
George SorianoMIA,RP,20,0,0,5.54,1,1,1,2,26,23,16,5,11,28,9.7,1.31,-0.2
Jake BlossHOU,SP,3,3,0,6.94,0,1,0,0,11.2,16,9,5,3,11,8.5,1.63,-0.2
Caden DanaLAA,SP,2,2,1,9,1,1,0,0,7,9,7,4,5,5,6.4,2,-0.2
Aaron BrooksOAK,SP,5,4,2,5.06,0,2,0,0,26.2,33,15,4,8,12,4.1,1.54,-0.2
Garrett StubbsPHI,C,4,0,0,15.75,0,0,0,0,4,6,7,2,2,0,0,2,-0.2
Matt SauerKC,SP,14,0,0,7.71,0,0,0,0,16.1,23,14,3,11,9,5,2.08,-0.2
Casey LeguminaCIN,RP,4,0,0,9.95,0,0,0,0,6.1,11,7,2,2,4,5.7,2.05,-0.2
Chase SilsethLAA,SP,2,2,0,6.75,0,1,0,0,8,8,6,3,4,12,13.5,1.5,-0.2
Bradley BlalockCOL/MIL,SP,7,6,0,5.87,1,3,0,0,30.2,35,20,4,20,20,5.9,1.79,-0.2
Robert GarciaWSH,RP,66,0,0,4.33,3,5,0,11,54,51,26,4,16,69,11.5,1.24,-0.2
Nick RamirezLAD,RP,8,0,0,6.08,0,0,0,0,13.1,18,9,0,7,5,3.4,1.88,-0.2
Burch SmithBAL/MIA,RP,49,0,0,5.13,4,1,0,4,54.1,64,31,6,12,43,7.1,1.4,-0.2
Brad KellerBOS/CHW,RP,16,2,0,5.44,0,4,1,0,41.1,48,25,9,15,32,7,1.52,-0.2
John CurtissCOL,RP,3,0,0,15.43,0,0,0,0,2.1,6,4,2,0,1,3.9,2.57,-0.2
Brock BurkeTEX/LAA,RP,26,1,0,6.41,1,1,0,1,26.2,30,19,3,13,37,12.5,1.61,-0.2
Matt BarnesWSH,RP,14,0,0,6.75,0,0,0,0,13.1,16,10,1,4,10,6.8,1.5,-0.2
Phil BickfordNYY,RP,8,0,0,8.64,0,0,0,0,8.1,10,8,1,1,6,6.5,1.32,-0.2
Austin DavisSD,RP,7,0,0,9,0,0,0,0,7,6,7,0,5,6,7.7,1.57,-0.2
Mason EnglertDET,RP,12,1,0,5.4,1,0,0,0,21.2,23,13,4,5,16,6.6,1.29,-0.2
Quinn PriesterPIT,SP,10,6,2,5.04,2,6,0,0,44.2,52,25,7,13,31,6.2,1.46,-0.2
Dan AltavillaKC,RP,5,1,0,14.73,0,1,0,0,3.2,5,6,1,3,5,12.3,2.18,-0.3
Jhonathan DiazSEA,RP,4,1,0,6.14,0,1,0,0,7.1,13,5,2,2,7,8.6,2.05,-0.3
Michael TonkinMIN/NYM/NYY,RP,50,0,0,3.73,4,4,2,1,72.1,62,30,6,28,77,9.6,1.24,-0.3
Ryan BoruckiPIT,RP,8,0,0,8.1,0,0,0,3,6.2,8,6,2,1,10,13.5,1.35,-0.3
Elieser HernandezLAD/MIL,RP,9,1,1,6.32,0,1,0,0,15.2,14,11,5,5,8,4.6,1.21,-0.3
Michael PetersenLAD,RP,11,0,0,6.43,3,0,0,1,14,14,10,3,8,11,7.1,1.57,-0.3
Kai-Wei TengSF,RP,4,0,0,9.82,0,0,0,0,11,15,12,2,8,7,5.7,2.09,-0.3
Gavin WilliamsCLE,SP,14,14,3,5.23,3,9,0,0,65.1,63,38,7,28,69,9.5,1.39,-0.3
Tyler WellsBAL,SP,3,3,1,5.87,0,2,0,0,15.1,18,10,3,3,13,7.6,1.37,-0.3
Easton LucasOAK/DET,RP,6,0,0,10.29,1,0,0,0,7,11,8,0,5,8,10.3,2.29,-0.3
Paolo EspinoTOR,RP,3,1,0,8.31,0,1,0,0,8.2,14,8,3,5,3,3.1,2.19,-0.3
Emmanuel RamirezMIA,RP,15,0,0,6.97,0,1,0,0,20.2,21,16,3,8,21,9.1,1.4,-0.3
Clayton KershawLAD,SP,7,7,1,4.5,2,2,0,0,30,36,15,2,9,24,7.2,1.5,-0.3
Steven OkertMIN,RP,44,1,0,5.09,3,2,1,7,35.1,37,20,6,16,33,8.4,1.5,-0.3
Giovanny GallegosSTL,RP,21,0,0,6.53,2,1,1,2,20.2,24,15,6,10,21,9.1,1.65,-0.3
Owen WhiteTEX,RP,3,0,0,24,0,0,0,0,3,9,8,1,1,0,0,3.33,-0.3
Zach PlesacLAA,SP,3,3,1,8.25,1,1,0,0,12,12,11,4,7,5,3.8,1.58,-0.3
Andrew SaalfrankARI,RP,2,0,0,36,0,0,0,0,1,2,4,0,4,0,0,6,-0.3
Austin PruittTEX,RP,4,0,0,12.46,0,0,0,1,4.1,8,6,3,3,1,2.1,2.54,-0.3
Kent EmanuelMIA,RP,12,0,0,6.62,0,0,0,0,17.2,20,13,4,7,12,6.1,1.53,-0.3
Joey CantilloCLE,SP,6,5,1,5.96,1,3,0,0,25.2,23,17,6,9,25,8.8,1.25,-0.3
Justin BruihlPIT,RP,7,0,0,9.53,0,0,0,0,5.2,9,6,1,1,5,7.9,1.76,-0.3
Alek ManoahTOR,SP,5,5,2,3.7,1,2,0,0,24.1,17,10,5,8,26,9.6,1.03,-0.3
Nick MearsCOL/MIL,RP,52,0,0,5.79,1,5,0,13,56,60,36,6,23,73,11.7,1.48,-0.3
Bailey HornBOS,RP,15,0,0,6.35,1,1,0,3,17,20,12,4,7,13,6.9,1.59,-0.3
Jordan WicksCHC,SP,10,9,1,5.27,2,3,0,0,41,48,24,6,18,38,8.3,1.61,-0.3
Nick AvilaSF,RP,8,0,0,8.49,1,0,0,0,11.2,17,11,2,3,14,10.8,1.71,-0.3
Victor MederosLAA,RP,4,0,0,11.81,0,1,0,0,5.1,7,7,1,6,5,8.4,2.44,-0.3
Touki ToussaintCHW,RP,11,0,0,7.43,1,2,0,1,23,35,19,3,18,26,10.2,2.3,-0.3
Dillon TateBAL,RP,29,0,0,4.59,2,1,1,2,33.1,38,17,2,9,23,6.2,1.41,-0.3
Jordan RomanoTOR,RP,15,0,0,6.59,1,2,8,0,13.2,16,10,4,4,13,8.6,1.46,-0.3
John BrebbiaCHW/ATL,RP,57,0,0,5.7,0,6,2,14,53.2,53,34,9,19,63,10.6,1.34,-0.3
J.P. FeyereisenLAD,RP,10,0,0,8.18,0,1,1,0,11,11,10,3,5,9,7.4,1.45,-0.3
Jhoan DuranMIN,RP,53,0,0,4.1,6,9,23,6,48.1,43,22,4,13,56,10.4,1.16,-0.3
Parker MushinskiHOU,RP,10,0,0,6.55,0,0,0,1,11,11,8,1,5,3,2.5,1.45,-0.3
Blair HenleyHOU,SP,1,1,0,135,0,0,0,0,0.1,4,5,0,3,0,0,21,-0.3
Jordan LeasureCHW,RP,33,0,0,6.32,0,2,2,9,31.1,32,22,6,18,26,7.5,1.6,-0.3
Dany JimenezOAK,RP,25,0,0,4.91,1,3,1,5,25.2,21,14,6,19,25,8.8,1.56,-0.3
Will KleinOAK/KC,RP,8,0,0,11.05,1,0,0,0,7.1,12,9,0,6,7,8.6,2.45,-0.3
Kody FunderburkMIN,RP,26,0,0,5.61,1,0,1,5,33.2,36,21,4,15,31,8.3,1.51,-0.3
Miles MikolasSTL,SP,29,29,14,5.55,8,11,0,0,155.2,180,96,23,24,110,6.4,1.31,-0.3
Trevor RichardsTOR/MIN,RP,55,2,0,4.55,2,2,1,7,65.1,44,33,7,35,62,8.5,1.21,-0.3
Davis DanielLAA,SP,6,6,1,6.23,1,4,0,0,30.1,39,21,5,6,28,8.3,1.48,-0.3
Geoff HartliebCOL,RP,5,0,0,9,0,0,0,1,9,13,9,1,4,7,7,1.89,-0.4
Joey WentzPIT/DET,RP,40,0,0,5.4,1,2,1,2,58.1,63,35,8,29,64,9.9,1.58,-0.4
Hayden WesneskiCHC,RP,25,7,3,3.94,3,6,0,2,61.2,53,27,11,21,58,8.5,1.2,-0.4
Julian MerryweatherCHC,RP,15,0,0,6.6,1,1,0,2,15,18,11,0,9,14,8.4,1.8,-0.4
Ty AdcockNYM,RP,3,0,0,14.54,0,0,0,1,4.1,7,7,4,2,3,6.2,2.08,-0.4
Riley PintCOL,RP,4,0,0,21.6,0,0,0,0,3.1,5,8,2,5,7,18.9,3,-0.4
Riley O'BrienSTL,RP,7,0,0,12,0,0,0,0,6,9,8,2,7,8,12,2.67,-0.4
Seth JohnsonPHI,SP,1,1,0,34.71,0,1,0,0,2.1,8,9,1,3,0,0,4.71,-0.4
Carlos RodriguezMIL,SP,3,3,0,7.3,0,3,0,0,12.1,19,10,3,3,9,6.6,1.78,-0.4
Craig KimbrelBAL,RP,56,0,0,4.35,7,5,23,4,51.2,37,25,7,29,71,12.4,1.28,-0.4
Luis GarciaBOS/LAA,RP,56,0,0,5.07,5,1,4,14,55,58,31,8,15,51,8.3,1.33,-0.4
Jonathan HernandezSEA/TEX,RP,29,1,0,5.4,3,1,0,0,43.1,41,26,6,28,39,8.1,1.59,-0.4
Lucas GilbreathCOL,RP,3,0,0,54,0,0,0,0,1,7,6,1,1,0,0,8,-0.4
Matt MooreLAA,RP,51,0,0,5.03,5,3,1,10,48.1,39,27,11,26,41,7.6,1.34,-0.4
Jose CisneroLAA,RP,15,0,0,6.89,0,0,0,1,15.2,18,12,4,8,17,9.8,1.66,-0.4
Gabe SpeierSEA,RP,26,0,0,5.66,0,2,0,6,20.2,16,13,2,12,28,12.2,1.35,-0.4
Cole WinnTEX,RP,13,0,0,7.79,0,1,0,0,17.1,18,15,2,4,14,7.3,1.27,-0.4
Abner UribeMIL,RP,14,0,0,6.91,2,2,3,0,14.1,15,11,1,12,14,8.8,1.88,-0.4
Matt KochCOL,RP,2,0,0,81,0,0,1,0,0.1,3,3,1,1,0,0,12,-0.4
Steven MatzSTL,SP,8,7,0,5.94,1,2,0,0,36.1,42,24,6,13,28,6.9,1.51,-0.5
Peter LambertCOL,RP,28,3,0,5.72,2,5,0,1,61.1,73,39,7,29,50,7.3,1.66,-0.5
Michael GroveLAD,RP,37,2,0,4.94,4,3,0,7,47.1,42,26,5,15,53,10.1,1.2,-0.5
Tyler MatzekATL,RP,11,0,0,9.9,0,0,0,3,10,16,11,3,3,10,9,1.9,-0.5
Darius VinesATL,SP,4,2,0,8.56,0,1,0,0,13.2,21,13,4,4,9,5.9,1.83,-0.5
Domingo GermanPIT,RP,7,2,1,7.84,0,1,0,0,20.2,25,18,4,13,18,7.8,1.84,-0.5
Austin KitchenMIA,RP,4,1,0,14.14,0,1,0,0,7,16,11,1,3,4,5.1,2.71,-0.5
Joely RodriguezBOS,RP,14,0,0,5.93,0,1,0,4,13.2,19,9,3,2,12,7.9,1.54,-0.5
Triston McKenzieCLE,SP,16,16,3,5.11,3,5,0,0,75.2,69,43,19,49,74,8.8,1.56,-0.5
Joe KellyLAD,RP,31,0,0,5.2,1,1,0,13,27.2,30,16,4,14,30,9.8,1.59,-0.5
Erik SwansonTOR,RP,37,0,0,5.97,1,2,0,8,31.2,34,21,10,13,28,8,1.48,-0.5
Darren McCaughanCLE/MIA,RP,8,3,0,7.06,0,0,0,1,29.1,41,23,6,12,15,4.6,1.81,-0.5
J.P. FranceHOU,SP,5,5,0,7.46,0,3,0,0,25.1,31,21,5,12,22,7.8,1.7,-0.5
Ricardo PintoPHI,RP,6,0,0,10.97,0,0,1,0,10.2,19,13,2,5,8,6.8,2.25,-0.5
Jose CuasTOR/CHC,RP,13,0,0,7.71,0,0,0,0,16.1,19,14,4,10,17,9.4,1.78,-0.5
Hoby MilnerMIL,RP,54,1,0,4.88,4,1,1,4,55.1,58,30,6,14,56,9.1,1.3,-0.5
Mark Leiter Jr.CHC/NYY,RP,55,0,0,4.67,3,5,0,15,52,50,27,7,19,75,13,1.33,-0.5
Emerson HancockSEA,SP,9,9,4,4.76,3,4,0,0,45.1,46,24,8,14,28,5.6,1.32,-0.5
Luke JacksonSF/ATL,RP,48,0,0,5.44,4,3,0,3,48,49,29,7,23,52,9.8,1.5,-0.5
Matt CarasitiCOL,RP,7,0,0,10.38,0,1,0,2,8.2,16,10,2,3,7,7.3,2.19,-0.5
Colten BrewerCHC,RP,16,0,0,5.66,0,0,1,1,20.2,24,13,1,9,22,9.6,1.6,-0.5
Josiah GrayWSH,SP,2,2,0,14.04,0,2,0,0,8.1,15,13,2,5,9,9.7,2.4,-0.5
James McArthurKC,RP,55,0,0,5.01,5,7,18,2,55.2,66,31,8,12,48,7.8,1.4,-0.6
Brandon HughesARI,RP,12,2,0,10.29,0,0,0,0,14,23,16,8,7,18,11.6,2.14,-0.6
Sixto SanchezMIA,SP,14,7,0,6.06,0,3,0,1,35.2,43,24,3,14,17,4.3,1.6,-0.6
Camilo DovalSF,RP,55,0,0,5.02,5,2,22,3,52,49,29,5,36,68,11.8,1.63,-0.6
Mitch WhiteTOR/SF/MIL,RP,13,0,0,7.23,1,1,0,0,23.2,26,19,4,13,13,4.9,1.65,-0.6
Chris StrattonKC,RP,56,0,0,5.34,4,3,4,5,57.1,50,34,5,33,44,6.9,1.45,-0.6
Cole IrvinBAL,SP,25,16,4,4.86,6,5,1,1,107.1,126,58,17,25,76,6.4,1.41,-0.6
Spencer HowardSF/CLE,RP,9,3,0,6.21,1,2,0,0,29,44,20,5,14,27,8.4,2,-0.6
Justin WrobleskiLAD,SP,7,6,0,6.4,1,2,0,0,32.1,32,23,9,14,22,6.1,1.42,-0.6
Chase AndersonBOS/TEX,RP,29,1,0,5.4,0,2,3,0,58.1,55,35,12,21,42,6.5,1.3,-0.6
Adbert AlzolayCHC,RP,18,0,0,4.67,1,4,4,1,17.1,19,9,6,6,13,6.8,1.44,-0.6
Alex LangeDET,RP,21,0,0,4.34,0,3,2,1,18.2,16,9,0,17,21,10.1,1.77,-0.6
Allan WinansATL,SP,2,2,0,15.26,0,2,0,0,7.2,14,13,3,4,4,4.7,2.35,-0.6
Hurston WaldrepATL,SP,2,2,0,16.71,0,1,0,0,7,9,13,3,8,3,3.9,2.43,-0.6
Adam MazurSD,SP,8,8,1,7.49,1,3,0,0,33.2,40,28,6,21,22,5.9,1.81,-0.6
Steven WilsonCHW,RP,40,0,0,5.71,1,6,0,9,34.2,29,22,8,26,34,8.8,1.59,-0.6
Ryne StanekSEA/NYM,RP,59,0,0,4.91,7,3,7,17,51.1,44,28,7,24,60,10.5,1.32,-0.6
Dominic LeoneCHW,RP,23,0,0,6.63,0,2,0,4,19,20,14,4,14,17,8.1,1.79,-0.6
Luis FriasTOR/ARI,RP,9,0,0,12.38,0,1,0,0,8,16,11,1,4,9,10.1,2.5,-0.6
Jonathan HeasleyBAL,RP,4,0,0,16.88,0,1,0,0,5.1,10,10,2,3,4,6.8,2.44,-0.6
Anthony MolinaCOL,RP,32,1,0,6.96,1,1,0,2,53,65,41,4,22,35,5.9,1.64,-0.6
Dane DunningTEX,SP,24,14,2,5.38,4,7,0,0,90.1,90,54,17,39,85,8.5,1.43,-0.6
Zack ThompsonSTL,RP,5,2,0,9.53,0,2,0,0,17,24,18,6,8,20,10.6,1.88,-0.6
Jay JacksonMIN,RP,20,0,0,7.52,1,2,0,1,26.1,28,22,7,9,29,9.9,1.41,-0.7
Adam CimberLAA,RP,28,0,0,7.03,3,0,0,8,24.1,20,19,1,14,19,7,1.4,-0.7
Zebby MatthewsMIN,SP,6,6,0,7.11,1,3,0,0,25.1,37,20,8,5,27,9.6,1.66,-0.7
Mason BlackSF,SP,6,5,0,7.5,0,3,0,0,24,31,20,6,8,22,8.3,1.63,-0.7
Patrick CorbinWSH,SP,29,29,8,5.6,5,13,0,0,159,191,99,23,51,126,7.1,1.52,-0.7
Tyler PhillipsPHI,SP,8,7,2,6.87,4,1,0,0,36.2,45,28,9,7,28,6.9,1.42,-0.7
Caleb ThielbarMIN,RP,51,0,0,5.62,2,3,3,10,41.2,45,26,5,19,49,10.6,1.54,-0.7
Shaun AndersonTEX/MIA,SP,5,2,0,9.64,0,2,0,0,14,31,15,3,1,9,5.8,2.29,-0.7
Deivi GarciaCHW,RP,14,0,0,7.07,1,2,1,0,14,16,11,2,11,15,9.6,1.93,-0.7
Daulton JefferiesPIT/SF,RP,6,1,0,9.82,0,2,0,0,14.2,24,16,4,4,12,7.4,1.91,-0.7
Yunior MartePHI,RP,23,0,0,6.92,0,0,0,2,26,34,20,5,15,23,8,1.88,-0.7
Michael MercadoPHI,SP,5,2,0,11.08,1,2,0,0,13,16,16,9,9,10,6.9,1.92,-0.7
Tyler BeedeCLE,RP,13,0,0,8.36,1,0,0,2,14,16,13,2,9,18,11.6,1.79,-0.7
Mike BaumannBAL/SEA/LAA/SF/MIA,RP,52,0,0,5.61,3,1,0,8,51.1,53,32,8,25,48,8.4,1.52,-0.7
Ben HellerPIT,RP,8,0,0,11.25,0,1,0,0,12,19,15,1,6,15,11.3,2.08,-0.7
Joe BoyleOAK,SP,11,10,1,7.12,3,6,0,1,43,39,34,4,36,49,10.3,1.74,-0.7
Bryce ElderATL,SP,10,10,3,6.52,2,5,0,0,49.2,64,36,8,17,46,8.3,1.63,-0.7
Ty BlachCOL,SP,20,12,2,6.94,3,8,0,0,71.1,103,55,17,18,36,4.5,1.7,-0.7
Yerry RodriguezTEX/TOR,RP,16,0,0,8.72,1,0,0,0,21.2,26,21,7,13,17,7.1,1.8,-0.7
Connor BrogdonPHI/LAD,RP,4,0,0,24,0,1,0,0,3,5,8,4,6,3,9,3.67,-0.8
Dakota HudsonCOL,SP,18,18,4,6.17,2,12,0,0,89,99,61,11,50,49,5,1.67,-0.8
Chris DevenskiTB,RP,19,0,0,6.75,2,1,0,0,26.2,28,20,9,14,24,8.1,1.58,-0.8
Nick NastriniCHW,SP,9,8,1,7.07,0,7,0,0,35.2,32,28,7,36,26,6.6,1.91,-0.8
Jake DiekmanNYM,RP,43,0,0,5.63,2,3,4,8,32,23,20,7,24,40,11.3,1.47,-0.8
Tommy HenryARI,SP,9,7,1,7.04,2,3,0,0,38.1,49,30,9,18,30,7,1.75,-0.8
Scott McGoughARI,RP,23,2,0,6.83,1,3,0,1,29,28,22,5,19,20,6.2,1.62,-0.9
Will SmithKC,RP,45,0,0,6.53,0,4,1,8,41.1,45,30,7,15,29,6.3,1.45,-0.9
David BednarPIT,RP,55,0,0,5.92,3,7,23,2,51.2,51,34,8,22,53,9.2,1.41,-0.9
Matt FestaTEX/NYM,RP,12,0,0,7.53,4,1,0,0,14.1,12,12,1,6,14,8.8,1.26,-0.9
Jose SuarezLAA,RP,19,1,0,7.51,1,2,1,0,38.1,44,32,5,23,41,9.6,1.75,-0.9
Tom CosgroveSD,RP,18,0,0,11.66,0,1,0,2,14.2,23,19,3,6,15,9.2,1.98,-0.9
Adrian HouserNYM,RP,23,7,0,5.84,1,5,1,1,69.1,74,45,8,32,45,5.8,1.53,-0.9
Louie VarlandMIN,SP,10,7,1,7.46,0,6,0,0,41,56,34,10,13,36,7.9,1.68,-0.9
Cade PovichBAL,SP,13,13,3,5.91,2,8,0,0,64,74,42,11,28,52,7.3,1.59,-0.9
Roddery MunozMIA,SP,18,17,2,6.53,2,7,0,0,82.2,89,60,26,42,70,7.6,1.58,-1
Will WarrenNYY,SP,5,5,0,9.55,0,3,0,0,21.2,31,23,4,9,26,10.8,1.85,-1
Logan AllenCLE,SP,20,20,5,5.73,8,5,0,0,97.1,113,62,22,41,79,7.3,1.58,-1
Jordan WeemsWSH,RP,41,0,0,6.7,1,1,0,5,41.2,49,31,7,24,35,7.6,1.75,-1
Slade CecconiARI,SP,20,13,3,6.66,2,7,0,0,77,92,57,16,17,64,7.5,1.42,-1.1
Yohan RamirezBAL/BOS/LAD/NYM,RP,38,0,0,6.2,0,5,1,3,45,49,31,4,17,45,9,1.47,-1.1
Taijuan WalkerPHI,SP,16,14,2,6.54,3,6,0,0,75.2,94,55,20,31,55,6.5,1.65,-1.1
Tanner GordonCOL,SP,8,8,1,8.65,0,6,0,0,34.1,53,33,10,6,26,6.8,1.72,-1.1
Grant AndersonTEX,RP,23,0,0,8.1,0,1,1,1,26.2,33,24,11,10,29,9.8,1.61,-1.1
Keaton WinnSF,SP,12,12,4,7.16,3,8,0,0,55.1,56,44,9,20,48,7.8,1.37,-1.1
Carlos CarrascoCLE,SP,21,21,4,5.64,3,10,0,0,103.2,112,65,19,33,89,7.7,1.4,-1.1
Ross StriplingOAK,SP,21,14,2,6.08,2,11,0,1,84.1,109,57,7,21,49,5.2,1.54,-1.2
Jake WoodfordPIT/CHW,SP,8,6,1,8.01,0,6,0,0,30.1,40,27,5,9,21,6.2,1.62,-1.2
Justin LawrenceCOL,RP,52,0,0,5.66,4,4,2,5,55.2,63,35,7,28,39,6.3,1.63,-1.2
Isaiah CampbellBOS,RP,8,0,0,16.2,0,1,0,2,6.2,14,12,3,2,6,8.1,2.4,-1.2
Walker BuehlerLAD,SP,13,13,2,5.95,1,5,0,0,59,76,39,15,21,49,7.5,1.64,-1.3
Kenta MaedaDET,SP,26,16,2,5.92,3,6,0,1,103.1,117,68,20,29,84,7.3,1.41,-1.3
Zach PopTOR,RP,53,0,0,5.8,1,4,1,12,45,44,29,8,17,31,6.2,1.36,-1.3
Jack LeiterTEX,SP,6,6,0,10.41,0,2,0,0,23.1,33,27,4,10,19,7.3,1.84,-1.4
Jordan MontgomeryARI,SP,23,19,6,6.25,8,6,1,0,108,137,75,13,40,73,6.1,1.64,-1.4
Tim MayzaTOR/NYY,RP,45,0,0,7.46,0,2,0,8,35,47,29,4,13,22,5.7,1.71,-1.5
Bobby MillerLAD,SP,12,12,2,8.17,2,4,0,0,54,62,49,17,29,50,8.3,1.69,-1.7
Kyle HendricksCHC,SP,26,21,3,6.51,3,11,0,0,112,134,81,20,37,76,6.1,1.53,-1.9